seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
0.0,1.0,1.0,4.0,8.0,9.210340371976184,6.476972362889683,1.0,1.0
0.0,2.0,1.0,4.0,8.0,8.922658299524402,6.62273632394984,1.0,2.0
0.0,3.0,1.0,4.0,8.0,9.546812608597396,7.003065458786462,1.0,3.0
0.0,2.0,1.0,4.0,1.0,9.159047077588632,6.745236349484363,1.0,2.0
0.0,2.0,1.0,2.0,8.0,9.047821442478408,6.684611727667927,0.0,1.0
0.0,2.0,1.0,1.0,8.0,9.210340371976184,7.109062135687172,1.0,1.0
0.0,2.0,1.0,4.0,24.0,9.998797732340453,6.802394763324311,1.0,2.0
0.0,1.0,1.0,2.0,18.0,9.350102314351341,6.396929655216146,0.0,1.0
0.0,2.0,1.0,4.0,4.0,9.546812608597396,7.1308988302963465,1.0,2.0
0.0,1.0,1.0,1.0,8.0,8.987196820661973,6.214608098422191,1.0,1.0
0.0,1.0,1.0,2.0,23.0,9.546812608597396,6.492239835020471,1.0,1.0
0.0,1.0,1.0,1.0,23.0,9.740968623038354,7.24422751560335,2.0,1.0
0.0,1.0,1.0,2.0,11.0,9.472704636443673,6.907755278982137,1.0,1.0
0.0,2.0,1.0,2.0,8.0,9.472704636443673,6.551080335043404,0.0,1.0
0.0,1.0,0.0,0.0,8.0,8.411832675758411,5.703782474656201,0.0,1.0
0.0,2.0,1.0,4.0,8.0,9.903487552536127,7.047517221357296,1.0,2.0
0.0,3.0,1.0,1.0,8.0,9.546812608597396,7.154615356913663,0.0,3.0
0.0,2.0,1.0,1.0,8.0,9.51044496442652,6.907755278982137,1.0,2.0
0.0,3.0,1.0,4.0,8.0,10.308952660644293,7.3901814282264295,1.0,3.0
0.0,1.0,1.0,2.0,8.0,8.556413904569519,5.991464547107982,0.0,1.0
0.0,1.0,0.0,0.0,11.0,9.210340371976184,5.703782474656201,2.0,1.0
0.0,3.0,1.0,1.0,8.0,9.825526011066415,7.233455418621439,0.0,2.0
0.0,3.0,1.0,4.0,8.0,10.596634733096073,7.569411792450712,1.0,3.0
0.0,1.0,1.0,1.0,8.0,9.259130536145614,6.907755278982137,1.0,1.0
0.0,2.0,1.0,4.0,16.0,9.472704636443673,6.917705609835305,0.0,2.0
0.0,2.0,1.0,2.0,7.0,9.433483923290392,7.1308988302963465,0.0,2.0
0.0,2.0,1.0,4.0,8.0,9.798127036878302,7.003065458786462,1.0,2.0
0.0,3.0,1.0,2.0,8.0,10.545341438708522,7.495541943884256,0.0,2.0
0.0,3.0,1.0,2.0,8.0,10.404262840448617,7.3777589082278725,0.0,3.0
0.0,3.0,1.0,4.0,1.0,9.615805480084347,7.003065458786462,0.0,2.0
0.0,2.0,1.0,4.0,8.0,9.546812608597396,7.003065458786462,1.0,2.0
0.0,1.0,1.0,1.0,8.0,8.294049640102028,5.857933154483459,0.0,1.0
0.0,2.0,1.0,2.0,8.0,9.903487552536127,5.991464547107982,1.0,2.0
0.0,3.0,1.0,1.0,8.0,9.680344001221918,6.745236349484363,0.0,2.0
0.0,3.0,1.0,1.0,8.0,10.596634733096073,7.313220387090301,1.0,3.0
0.0,3.0,1.0,4.0,8.0,10.491274217438248,7.257002707092073,1.0,3.0
0.0,1.0,1.0,2.0,1.0,8.779557455883728,5.991464547107982,0.0,1.0
0.0,2.0,1.0,2.0,6.0,9.159047077588632,6.646390514847729,1.0,2.0
0.0,2.0,1.0,1.0,8.0,9.680344001221918,6.907755278982137,0.0,2.0
0.0,2.0,1.0,4.0,8.0,10.085809109330082,6.931471805599453,1.0,2.0
0.0,2.0,1.0,4.0,8.0,9.615805480084347,6.92461239604856,1.0,2.0
0.0,1.0,1.0,2.0,3.0,8.779557455883728,6.1092475827643655,0.0,1.0
0.0,2.0,1.0,4.0,3.0,9.071078304642676,6.396929655216146,1.0,2.0
0.0,1.0,1.0,4.0,8.0,10.126631103850338,6.481577129276431,1.0,2.0
0.0,1.0,1.0,2.0,8.0,9.210340371976184,6.620073206530356,1.0,2.0
0.0,2.0,1.0,4.0,8.0,9.433483923290392,6.551080335043404,1.0,2.0
0.0,2.0,1.0,4.0,8.0,9.392661928770137,6.396929655216146,1.0,2.0
0.0,3.0,1.0,4.0,8.0,9.798127036878302,7.1308988302963465,1.0,3.0
0.0,2.0,1.0,4.0,11.0,10.043249494911286,7.025538314638521,1.0,2.0
0.0,2.0,1.0,2.0,17.0,9.903487552536127,6.802394763324311,0.0,3.0
0.0,2.0,1.0,4.0,8.0,9.615805480084347,7.170119543449628,1.0,2.0
0.0,1.0,1.0,1.0,8.0,9.210340371976184,6.396929655216146,0.0,1.0
0.0,3.0,1.0,4.0,4.0,9.615805480084347,7.170119543449628,0.0,2.0
0.0,2.0,1.0,4.0,8.0,9.680344001221918,6.579251212010101,1.0,2.0
0.0,2.0,1.0,2.0,5.0,9.615805480084347,6.802394763324311,1.0,2.0
0.0,2.0,1.0,4.0,3.0,9.259130536145614,6.907755278982137,0.0,3.0
